keyword,positive_factor
ablaze,0.3611111111111111
accident,0.6857142857142857
airplane%20accident,0.8571428571428571
ambulance,0.5263157894736842
annihilated,0.3235294117647059
annihilation,0.3448275862068966
apocalypse,0.28125
armageddon,0.11904761904761904
army,0.14705882352941177
arson,0.6875
arsonist,0.23529411764705882
attack,0.6944444444444444
attacked,0.6
avalanche,0.13333333333333333
battle,0.19230769230769232
bioterror,0.5945945945945946
bioterrorism,0.7
blaze,0.13157894736842105
blazing,0.029411764705882353
bleeding,0.14285714285714285
blew%20up,0.06060606060606061
blight,0.0625
blizzard,0.10810810810810811
blood,0.14285714285714285
bloody,0.08571428571428572
blown%20up,0.15151515151515152
body%20bag,0.030303030303030304
body%20bagging,0.15151515151515152
body%20bags,0.024390243902439025
bomb,0.4411764705882353
bombed,0.5
bombing,0.9310344827586207
bridge%20collapse,0.8285714285714286
buildings%20burning,0.6857142857142857
buildings%20on%20fire,0.8484848484848485
burned,0.21212121212121213
burning,0.29411764705882354
burning%20buildings,0.5675675675675675
bush%20fires,0.72
casualties,0.8
casualty,0.4411764705882353
catastrophe,0.19444444444444445
catastrophic,0.6666666666666666
chemical%20emergency,0.45454545454545453
cliff%20fall,0.2222222222222222
collapse,0.4411764705882353
collapsed,0.37142857142857144
collide,0.08823529411764706
collided,0.575
collision,0.7435897435897436
crash,0.36363636363636365
crashed,0.6176470588235294
crush,0.10810810810810811
crushed,0.12903225806451613
curfew,0.13513513513513514
cyclone,0.59375
damage,0.4634146341463415
danger,0.2222222222222222
dead,0.23333333333333334
death,0.25
deaths,0.6842105263157895
debris,1.0
deluge,0.14285714285714285
deluged,0.25925925925925924
demolish,0.14705882352941177
demolished,0.25
demolition,0.2571428571428571
derail,0.4857142857142857
derailed,0.6842105263157895
derailment,1.0
desolate,0.2413793103448276
desolation,0.19444444444444445
destroy,0.24324324324324326
destroyed,0.25
destruction,0.17647058823529413
detonate,0.2777777777777778
detonation,0.28125
devastated,0.5806451612903226
devastation,0.75
disaster,0.42857142857142855
displaced,0.7222222222222222
drought,0.8
drown,0.09375
drowned,0.39473684210526316
drowning,0.2647058823529412
dust%20storm,0.6666666666666666
earthquake,0.7692307692307693
electrocute,0.03125
electrocuted,0.38235294117647056
emergency,0.3783783783783784
emergency%20plan,0.6
emergency%20services,0.3333333333333333
engulfed,0.5277777777777778
epicentre,0.08333333333333333
evacuate,0.625
evacuated,0.8888888888888888
evacuation,0.7777777777777778
explode,0.07894736842105263
exploded,0.2727272727272727
explosion,0.5128205128205128
eyewitness,0.375
famine,0.6666666666666666
fatal,0.6842105263157895
fatalities,0.5777777777777777
fatality,0.2702702702702703
fear,0.125
fire,0.2894736842105263
fire%20truck,0.6666666666666666
first%20responders,0.41379310344827586
flames,0.3333333333333333
flattened,0.14705882352941177
flood,0.42857142857142855
flooding,0.6578947368421053
floods,0.7222222222222222
forest%20fire,0.7894736842105263
forest%20fires,0.84375
hail,0.5142857142857142
hailstorm,0.75
harm,0.0975609756097561
hazard,0.20588235294117646
hazardous,0.6285714285714286
heat%20wave,0.7352941176470589
hellfire,0.1794871794871795
hijack,0.48484848484848486
hijacker,0.5428571428571428
hijacking,0.46875
hostage,0.4838709677419355
hostages,0.7297297297297297
hurricane,0.5263157894736842
injured,0.6857142857142857
injuries,0.2727272727272727
injury,0.2894736842105263
inundated,0.17142857142857143
inundation,0.2
landslide,0.42424242424242425
lava,0.14705882352941177
lightning,0.5151515151515151
loud%20bang,0.20588235294117646
mass%20murder,0.8484848484848485
mass%20murderer,0.59375
massacre,0.6944444444444444
mayhem,0.1
meltdown,0.15151515151515152
military,0.23529411764705882
mudslide,0.32432432432432434
natural%20disaster,0.5294117647058824
nuclear%20disaster,0.9117647058823529
nuclear%20reactor,0.3888888888888889
obliterate,0.12903225806451613
obliterated,0.12903225806451613
obliteration,0.13793103448275862
oil%20spill,0.9736842105263158
outbreak,0.975
pandemonium,0.21621621621621623
panic,0.08108108108108109
panicking,0.06060606060606061
police,0.5675675675675675
quarantine,0.14705882352941177
quarantined,0.3783783783783784
radiation%20emergency,0.5555555555555556
rainstorm,0.5294117647058824
razed,0.8857142857142857
refugees,0.6111111111111112
rescue,0.22727272727272727
rescued,0.4857142857142857
rescuers,0.9142857142857143
riot,0.17647058823529413
rioting,0.6571428571428571
rubble,0.35714285714285715
ruin,0.02702702702702703
sandstorm,0.7567567567567568
screamed,0.11764705882352941
screaming,0.05555555555555555
screams,0.14285714285714285
seismic,0.4482758620689655
sinkhole,0.6923076923076923
sinking,0.1951219512195122
siren,0.125
sirens,0.2413793103448276
smoke,0.08823529411764706
snowstorm,0.4482758620689655
storm,0.5142857142857142
stretcher,0.09090909090909091
structural%20failure,0.6571428571428571
suicide%20bomb,0.9142857142857143
suicide%20bomber,0.967741935483871
suicide%20bombing,0.9696969696969697
sunk,0.23076923076923078
survive,0.15625
survived,0.30303030303030304
survivors,0.7
terrorism,0.7058823529411765
terrorist,0.7419354838709677
threat,0.18181818181818182
thunder,0.3157894736842105
thunderstorm,0.7878787878787878
tornado,0.45714285714285713
tragedy,0.6111111111111112
trapped,0.28125
trauma,0.3548387096774194
traumatised,0.05714285714285714
trouble,0.15151515151515152
tsunami,0.3235294117647059
twister,0.125
typhoon,0.9736842105263158
upheaval,0.15789473684210525
violent%20storm,0.7878787878787878
volcano,0.6666666666666666
war%20zone,0.2916666666666667
weapon,0.358974358974359
weapons,0.4358974358974359
whirlwind,0.358974358974359
wild%20fires,0.8709677419354839
wildfire,0.8787878787878788
windstorm,0.4
wounded,0.7027027027027027
wounds,0.30303030303030304
wreck,0.1891891891891892
wreckage,1.0
wrecked,0.07692307692307693
